participantId,level,run_id,run_start,run_end,run_samples,run_duration,gap_to_next_s,gap_from_prev_s
P002,10,10,556.754,619.902,571,63.148000000000025,0.11199999999996635,0.11099999999999
P002,11,11,620.014,646.529,240,26.514999999999986,0.11199999999996635,0.11199999999996635
P002,12,12,646.641,699.126,476,52.485000000000014,0.11099999999999,0.11199999999996635
P002,13,13,699.237,741.882,386,42.64499999999998,0.11200000000008004,0.11099999999999
P002,14,14,741.994,780.203,345,38.208999999999946,0.11200000000008004,0.11200000000008004
P002,15,15,780.315,829.951,449,49.63599999999997,0.11099999999999,0.11200000000008004
P002,16,16,830.062,891.682,556,61.620000000000005,0.11099999999999,0.11099999999999
P002,17,17,891.793,963.47,647,71.67700000000002,0.1129999999999427,0.11099999999999
P002,18,18,963.583,1068.576,953,104.99300000000005,0.10599999999999454,0.1129999999999427
P002,19,19,1068.682,1152.462,756,83.77999999999997,0.10999999999989996,0.10599999999999454
P002,20,20,1152.572,1186.554,307,33.9820000000002,0.10799999999994725,0.10999999999989996
P002,21,21,1186.662,1258.869,652,72.20699999999988,0.11100000000010368,0.10799999999994725
P002,22,22,1258.98,1365.476,961,106.4960000000001,0.11099999999987631,0.11100000000010368
P002,23,23,1365.587,1469.971,942,104.38400000000001,0.11200000000008004,0.11099999999987631
P002,24,24,1470.083,1543.731,664,73.64799999999991,NA,0.11200000000008004
P003,1,1,178.215,258.745,726,80.53,0.11099999999999,NA
P003,2,2,258.856,339.96,740,81.103999999999985,0.11299999999999955,0.11099999999999
P003,3,3,340.073,375.023,319,34.950000000000045,0.0999999999999659,0.11299999999999955
P003,4,4,375.123,414.764,360,39.64100000000002,0.11000000000001364,0.0999999999999659
P003,5,5,414.874,497.634,747,82.75999999999999,0.10899999999998045,0.11000000000001364
P003,6,6,497.743,526.328,263,28.58499999999998,0.11099999999999,0.10899999999998045
P003,7,7,526.439,586.855,548,60.416000000000054,0.11199999999996635,0.11099999999999
P003,8,8,586.967,608.328,198,21.36099999999999,0.11099999999999,0.11199999999996635
P003,9,9,608.439,636.772,256,28.333000000000084,0.11199999999996635,0.11099999999999
P003,10,10,636.884,681.575,405,44.69100000000003,0.10999999999989996,0.11199999999996635
P003,11,11,681.685,724.58,387,42.895000000000095,0.11099999999999,0.10999999999989996
P003,12,12,724.691,810.777,777,86.08600000000001,0.1069999999999709,0.11099999999999
P003,13,13,810.884,854.566,396,43.682000000000016,0.11099999999999,0.1069999999999709
P003,14,14,854.677,891.189,330,36.511999999999944,0.11200000000008004,0.11099999999999
P003,15,15,891.301,950.192,531,58.89099999999996,0.11199999999996635,0.11200000000008004
P003,14,16,950.304,973.99,217,23.686000000000035,0.11400000000003274,0.11199999999996635
P003,15,17,974.104,1004.219,272,30.11500000000001,0.11099999999999,0.11400000000003274
P003,16,18,1004.33,1038.607,311,34.27699999999993,0.11100000000010368,0.11099999999999
P003,17,19,1038.718,1055.964,159,17.245999999999867,0.10599999999999454,0.11100000000010368
P003,18,20,1056.07,1083.88,254,27.810000000000173,0.09999999999990905,0.10599999999999454
P003,19,21,1083.98,1095.785,110,11.805000000000064,0.10999999999989996,0.09999999999990905
P003,20,22,1095.895,1163.799,614,67.904,0.11100000000010368,0.10999999999989996
P003,21,23,1163.91,1209.026,407,45.115999999999985,0.11099999999987631,0.11100000000010368
P003,22,24,1209.137,1227.792,171,18.654999999999973,0.10800000000017462,0.11099999999987631
P003,23,25,1227.9,1264.707,338,36.807000000000016,0.11099999999987631,0.10800000000017462
P003,24,26,1264.818,1285.815,190,20.99700000000007,NA,0.11099999999987631
P004,1,1,115.018,138.905,216,23.887,0.10999999999998522,NA
P004,2,2,139.015,174.462,320,35.447,0.11000000000001364,0.10999999999998522
P004,3,3,174.572,195.528,190,20.95599999999999,0.11100000000001842,0.11000000000001364
P004,4,4,195.639,228.373,296,32.73399999999998,0.11100000000001842,0.11100000000001842
P004,5,5,228.484,262.168,311,33.684,0.10099999999999909,0.11100000000001842
P004,6,6,262.269,295.94,304,33.67099999999999,0.11099999999999,0.10099999999999909
P004,7,7,296.051,313.271,156,17.220000000000027,0.11199999999996635,0.11099999999999
P004,8,8,313.383,359.767,419,46.384000000000015,0.11200000000002319,0.11199999999996635
P004,9,9,359.879,395.989,326,36.10999999999996,0.11000000000001364,0.11200000000002319
P004,10,10,396.099,407.988,108,11.88900000000001,0.11099999999999,0.11000000000001364
P004,11,11,408.099,447.987,360,39.888000000000034,0.11099999999999,0.11099999999999
P004,12,12,448.098,461.652,123,13.553999999999974,0.11099999999999,0.11099999999999
P004,13,13,461.763,474.982,120,13.219000000000051,0.11299999999999955,0.11099999999999
P004,14,14,475.095,507.983,297,32.88799999999998,0.11099999999999,0.11299999999999955
P004,15,15,508.094,571.866,575,63.77199999999999,0.11300000000005639,0.11099999999999
P004,16,16,571.979,606.058,308,34.07899999999995,0.11199999999996635,0.11300000000005639
P004,17,17,606.17,638.835,295,32.66500000000008,0.11099999999999,0.11199999999996635
P004,18,18,638.946,683.387,401,44.44099999999992,0.11300000000005639,0.11099999999999
P004,19,19,683.5,700.803,157,17.302999999999997,0.11300000000005639,0.11300000000005639
P004,20,20,700.916,712.803,108,11.886999999999944,0.11099999999999,0.11300000000005639
P004,21,21,712.914,731.915,172,19.000999999999976,0.11099999999999,0.11099999999999
P004,22,22,732.026,754.689,205,22.66300000000001,0.10000000000002274,0.11099999999999
P004,23,23,754.789,780.536,233,25.746999999999957,0.11000000000001364,0.10000000000002274
P004,24,24,780.646,802.311,196,21.665000000000077,NA,0.11000000000001364
